age_group,year,sent_received_emails,instant_messaging,social_media,voice_calls,dating_apps,news,research,health_research,events_research,services_research,music,podcasts,video_streaming,video_sharing_websites,subscription_video,sports,eSports,video_game_stream,tv,books_magazines,play_video_games,gambling,buy_online_boards,search_jobs,online_banking,online_investing,virtual_wallet,online_formal_training,informal_training,booked_appointments,track_health,online_gov_services,smart_home
"Total, 15 years and over",2018,85.5,71.1,68.5,47,5.3,71,80.9,,,,65.9,25.6,56,65.9,9.9,,,,24.7,24.8,30.2,1.9,,20.9,72.9,,13,13.9,26.1,34.3,,67.5,26.5
"Total, 15 years and over",2020,85.9,76.3,70.9,64.1,7.5,78.2,,68.7,44.4,72.7,73.1,34,67.6,72.8,,16.8,6.4,12.6,31.2,,34.7,4.1,35.9,21.5,74.9,,9.8,24.7,24.3,48.2,25.4,74.1,42.2
"Total, 15 years and over",2022,89.6,78,73.7,64.7,8.9,76.9,,69.3,,76.3,76.1,38.9,75.2,,,,,,,,37.3,5.1,35.2,22.8,77.6,16.4,,21.8,22.6,58.5,25.3,76.3,47.4
15 to 24 years,2018,92.3,89.6,91.1,68.1,11,71.4,88.4,,,,94.3,35.8,79.1,91.9,15.3,,,,33.8,34.3,57.5,1.5,,35.7,69.4,,22.3,20.9,37.5,31.5,,62,35.6
15 to 24 years,2020,90.5,93.1,91.3,80.1,14.9,76.9,,68.9,41.1,72.4,94.9,49.4,86.4,91.1,,23.4,15.2,36.2,36.1,,65.7,3.7,35.7,38.3,70.1,,17.7,47.2,24.2,42.9,30.9,71.5,53.5
15 to 24 years,2022,93.3,92.1,90.5,81.8,14.8,75.9,,67.9,,79.9,95.5,50.8,90.1,,,,,,,,72.7,5.2,36.1,39.7,73.5,16.5,,33.6,24.3,53.6,30.8,71.8,60.2
25 to 44 years,2018,94.2,88.6,86.4,60.5,8.3,83.7,90.9,,,,84.4,37.1,74.4,83.5,13.7,,,,31.5,31,37.5,2.9,,30,89.8,,20.4,20.9,37.1,48.7,,83.2,33.7
25 to 44 years,2020,95,90.9,87.2,79.6,10.8,89.4,,80.9,55.6,84.3,90.6,46.6,85.9,88.1,,23.3,8.6,17.1,38.4,,42.1,5.7,49.6,30.5,89,,14.9,32.1,34.5,62.6,33.2,87.5,53.3
25 to 44 years,2022,96.2,91.2,89.6,80.1,13.4,85.4,,78.4,,86.7,93.2,56.5,90.8,,,,,,,,49.2,7.4,47.5,32.5,89.1,22.8,,30.6,31.9,72.3,34,90.1,59.4
45 to 64 years,2018,87.8,68.6,62.8,40.1,2.6,73.1,82.6,,,,58.7,19.8,49.2,60.8,8,,,,22.5,22.2,20,1.9,,17.3,75.7,,8.2,11.1,21,32.2,,71.2,24.4
45 to 64 years,2020,87.3,75.1,65.9,59.1,4.6,81.4,,68.4,44.4,74.6,68.5,27.6,62.6,70.1,,14,3.5,4.3,30.7,,24.9,4,35.2,17.3,78.1,,6.5,20.9,23.7,48.2,23.8,77.4,41.1
45 to 64 years,2022,92.2,78.2,72.3,61,6.7,80,,70.7,,78.2,74.2,32.4,75.1,,,,,,,,25.9,4.9,35.9,19.9,81.9,14.9,,20.3,21.9,59.4,23.2,79.5,47
65 years and over,2018,62.9,33.6,32.4,21.2,0.8,46.7,56.9,,,,27.2,9.1,20.7,27,2.9,,,,10.7,12.2,15.4,0.7,,1.5,43.9,,2.3,2,8.3,16.6,,41,11.7
65 years and over,2020,67,44.1,39.7,37.2,1.8,57.1,,50.2,29.5,52.4,38.5,14,34.1,40.9,,6.6,1.4,2,17.8,,17.3,1.8,16.1,2.6,51.9,,1.3,4,9.5,29.8,12,50.8,19.4
65 years and over,2022,74.7,50.9,43.5,37.8,2.3,61.2,,55.5,,56.9,42.7,15.3,44.5,,,,,,,,15.4,2.2,16.5,3.3,58,9.2,,4.7,9.3,40.7,12.7,55.4,23.5