age_group,year,work,school,public_library,public_location,business,home,someone_else_home
"Total, 15 years and over",2020,35.8,8.2,2.8,20.6,23.9,85.2,31.2
"Total, 15 years and over",2022,39.5,13.5,6,22.5,23.3,88.3,35.2
15 to 24 years,2020,38.8,35.6,4.8,28.7,34.4,92.5,49.9
15 to 24 years,2022,45.4,62.9,17.3,37.8,39.7,94,60.2
25 to 44 years,2020,51.5,6.1,3.5,24.6,28.5,91.4,39
25 to 44 years,2022,58.4,10.9,6,28.3,29.2,92.6,46.5
45 to 64 years,2020,38.2,3.3,2.3,20.6,24.4,85.4,26.4
45 to 64 years,2022,41.8,4.8,4.2,19.7,20.8,89,26.8
65 years and over,2020,6.1,0.3,1.2,9,9.1,70.4,13.7
65 years and over,2022,6.1,0.2,2,9,8.7,78,15.9